contcod,country,region,year,bin_year,group,RRinc,RRmean
AGO,Angola,Sub-Saharan Africa,1995,1993,1,174,806
AGO,Angola,Sub-Saharan Africa,2000,1998,1,45,755
ALB,Albania,"Russia, C. Asia, SE Europe",1996,1998,1,687,1817
ALB,Albania,"Russia, C. Asia, SE Europe",2002,2003,1,644,1630
ALB,Albania,"Russia, C. Asia, SE Europe",2008,2008,1,736,2086
ARG,Argentina,L. America & Carib.,1987,1988,1,1107,6397
ARG,Argentina,L. America & Carib.,1993,1993,1,741,4843
ARG,Argentina,L. America & Carib.,1998,1998,1,485,4532
ARG,Argentina,L. America & Carib.,2003,2003,1,248,3219
ARG,Argentina,L. America & Carib.,2008,2008,1,861,6473
ARM,Armenia,"Russia, C. Asia, SE Europe",1998,1998,1,298,955
ARM,Armenia,"Russia, C. Asia, SE Europe",2003,2003,1,368,1008
ARM,Armenia,"Russia, C. Asia, SE Europe",2008,2008,1,569,1522
AUS,Australia,Mature economies,1989,1988,1,2890,11678
AUS,Australia,Mature economies,1994,1993,1,1792,11173
AUS,Australia,Mature economies,1999,1998,1,3422,12063
AUS,Australia,Mature economies,2003,2003,1,3017,12602
AUT,Austria,Mature economies,1987,1988,1,6137,14056
AUT,Austria,Mature economies,1994,1993,1,4249,14495
AUT,Austria,Mature economies,2000,1998,1,4876,14766
AUT,Austria,Mature economies,2005,2003,1,5794,16544
AUT,Austria,Mature economies,2008,2008,1,5535,14826
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",1995,1993,1,288,1047
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",2001,2003,1,434,1347
AZE,Azerbaijan,"Russia, C. Asia, SE Europe",2008,2008,1,828,2413
BDI,Burundi,Sub-Saharan Africa,1992,1993,1,107,313
BDI,Burundi,Sub-Saharan Africa,1998,1998,1,53,292
BDI,Burundi,Sub-Saharan Africa,2006,2008,1,144,348
BEL,Belgium,Mature economies,1988,1988,1,3753,9653
BEL,Belgium,Mature economies,1995,1993,1,4307,12412
BEL,Belgium,Mature economies,2000,1998,1,4990,14810
BEL,Belgium,Mature economies,2005,2003,1,5016,14333
BEL,Belgium,Mature economies,2008,2008,1,4546,13062
BEN,Benin,Sub-Saharan Africa,2003,2003,1,190,633
BFA,Burkina Faso,Sub-Saharan Africa,1994,1993,1,110,490
BFA,Burkina Faso,Sub-Saharan Africa,1998,1998,1,121,500
BFA,Burkina Faso,Sub-Saharan Africa,2003,2003,1,169,562
BFA,Burkina Faso,Sub-Saharan Africa,2009,2008,1,193,674
BGD,Bangladesh,Other Asia,1988,1988,1,185,444
BGD,Bangladesh,Other Asia,1995,1993,1,197,503
BGD,Bangladesh,Other Asia,2000,1998,1,203,519
BGD,Bangladesh,Other Asia,2005,2003,1,231,579
BGD,Bangladesh,Other Asia,2010,2008,1,247,620
BGR,Bulgaria,Mature economies,1989,1988,1,2829,6203
BGR,Bulgaria,Mature economies,1994,1993,1,1572,3581
BGR,Bulgaria,Mature economies,1997,1998,1,842,1864
BGR,Bulgaria,Mature economies,2003,2003,1,856,2473
BGR,Bulgaria,Mature economies,2007,2008,1,1077,3284
BIH,Bosnia and Herzegovina,"Russia, C. Asia, SE Europe",2001,2003,1,1607,4230
BIH,Bosnia and Herzegovina,"Russia, C. Asia, SE Europe",2007,2008,1,1543,5695
BLR,Belarus,"Russia, C. Asia, SE Europe",1988,1988,1,1637,3662
BLR,Belarus,"Russia, C. Asia, SE Europe",1993,1993,1,1194,2452
BLR,Belarus,"Russia, C. Asia, SE Europe",1998,1998,1,730,2167
BLR,Belarus,"Russia, C. Asia, SE Europe",2002,2003,1,1107,3042
BLZ,Belize,L. America & Carib.,1993,1993,1,242,2915
BLZ,Belize,L. America & Carib.,1998,1998,1,253,2297
BOL,Bolivia,L. America & Carib.,1990,1988,1,461,1989
BOL,Bolivia,L. America & Carib.,1993,1993,1,302,2435
BOL,Bolivia,L. America & Carib.,1997,1998,1,121,2564
BOL,Bolivia,L. America & Carib.,2002,2003,1,62,2202
BOL,Bolivia,L. America & Carib.,2008,2008,1,116,2572
BRA,Brazil,L. America & Carib.,1988,1988,1,196,3069
BRA,Brazil,L. America & Carib.,1993,1993,1,143,2654
BRA,Brazil,L. America & Carib.,1998,1998,1,204,3643
BRA,Brazil,L. America & Carib.,2003,2003,1,192,3374
BRA,Brazil,L. America & Carib.,2008,2008,1,346,4269
BRB,Barbados,L. America & Carib.,1996,1998,1,3478,14330
BTN,Bhutan,Other Asia,2003,2003,1,263,1143
BTN,Bhutan,Other Asia,2007,2008,1,381,1362
BWA,Botswana,Sub-Saharan Africa,1993,1993,1,196,1533
CAF,Central African Republic,Sub-Saharan Africa,1992,1993,1,21,297
CAF,Central African Republic,Sub-Saharan Africa,2003,2003,1,105,501
CAF,Central African Republic,Sub-Saharan Africa,2008,2008,1,75,615
CAN,Canada,Mature economies,1987,1988,1,3832,14401
CAN,Canada,Mature economies,1994,1993,1,4059,14694
CAN,Canada,Mature economies,2000,1998,1,4047,15393
CAN,Canada,Mature economies,2004,2003,1,4195,16556
CAN,Canada,Mature economies,2008,2008,1,4005,21807
CHE,Switzerland,Mature economies,1994,1993,1,3843,17952
CHE,Switzerland,Mature economies,2000,1998,1,5134,17833
CHE,Switzerland,Mature economies,2004,2003,1,4874,17776
CHE,Switzerland,Mature economies,2008,2008,1,,22084
CHL,Chile,L. America & Carib.,1987,1988,1,344,2939
CHL,Chile,L. America & Carib.,1992,1993,1,531,3738
CHL,Chile,L. America & Carib.,1998,1998,1,609,4869
CHL,Chile,L. America & Carib.,2003,2003,1,677,4939
CHL,Chile,L. America & Carib.,2009,2008,1,906,5924
CHN,China,China,1987,1988,1,161,493
CHN,China,China,1993,1993,1,140,589
CHN,China,China,1998,1998,1,200,853
CHN,China,China,2001,2003,1,166,995
CHN,China,China,2007,2008,1,288,2088
CIV,Cote d'Ivoire,Sub-Saharan Africa,1988,1988,1,336,1190
CIV,Cote d'Ivoire,Sub-Saharan Africa,1993,1993,1,313,1043
CIV,Cote d'Ivoire,Sub-Saharan Africa,1998,1998,1,246,1063
CIV,Cote d'Ivoire,Sub-Saharan Africa,2002,2003,1,238,1213
CIV,Cote d'Ivoire,Sub-Saharan Africa,2008,2008,1,235,1052
CMR,Cameroon,Sub-Saharan Africa,1996,1998,1,278,981
